query_name,query_path,serial_algorithm,parallel_algorithm,serial_initial,parallel_initial,serial_positive,parallel_positive,serial_negative,parallel_negative,serial_time_ms,parallel_time_ms,serial_edge_updates,parallel_edge_updates,serial_timed_out,parallel_timed_out,serial_return_code,parallel_return_code,match_status,serial_log,parallel_log
Q_gen_001,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_001,graphflow,parallel_graphflow,4986617132,4294981243,5007347470,5007347470,0,0,166106.0,117617.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_001.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_001.parallel.log
Q_gen_004,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_004,graphflow,parallel_graphflow,,,,,,,,,,,True,True,124,124,pass,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_004.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_004.parallel.log
Q_gen_008,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_008,graphflow,parallel_graphflow,1016255246,1016255246,1071658701,1071658701,0,0,55705.1,25391.2,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_008.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_008.parallel.log
Q_gen_009,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_009,graphflow,parallel_graphflow,5083759578,4294976768,5101213432,5101213432,0,0,174350.0,124815.0,244341,244349,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_009.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_009.parallel.log
Q_gen_010,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_010,graphflow,parallel_graphflow,5069679055,4294982065,5923793183,5923793183,0,0,191225.0,143956.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_010.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_010.parallel.log
Q_gen_011,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_011,graphflow,parallel_graphflow,4519475363,3554826538,,,,,,,,,True,True,1,1,timeout-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_011.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_011.parallel.log
Q_gen_014,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_014,graphflow,parallel_graphflow,1191280581,1191280581,1369813884,1369813884,0,0,67195.1,46383.3,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_014.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_014.parallel.log
Q_gen_015,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_015,graphflow,parallel_graphflow,5420752921,4294981390,5150898932,5150898932,0,0,173355.0,152715.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_015.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_015.parallel.log
Q_gen_016,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_016,graphflow,parallel_graphflow,4467659986,4294974840,4455163497,4455163497,0,0,148789.0,136127.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_016.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_016.parallel.log
Q_gen_018,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_018,graphflow,parallel_graphflow,7151357106,4294984985,,6885429192,,0,,165042.0,,244355,True,False,1,0,timeout-mismatch-progress,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_018.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_018.parallel.log
Q_gen_020,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_020,graphflow,parallel_graphflow,17833667633,4294978902,,13186225589,,0,,350678.0,,244355,True,False,1,0,timeout-mismatch-progress,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_020.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_020.parallel.log
Q_gen_021,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_021,graphflow,parallel_graphflow,1127309353,1127309353,1313485511,1313485511,0,0,61862.3,28931.9,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_021.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_021.parallel.log
Q_gen_022,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_022,graphflow,parallel_graphflow,5290583577,3205404356,,,,,,,,,True,True,1,1,timeout-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_022.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_022.parallel.log
Q_gen_024,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_024,graphflow,parallel_graphflow,5287580607,4294981359,5069363599,5069363599,0,0,167888.0,131272.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_024.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_024.parallel.log
Q_gen_025,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_025,graphflow,parallel_graphflow,986375350,986375350,1066321514,1066321514,0,0,56466.3,25687.3,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_025.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_025.parallel.log
Q_gen_026,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_026,graphflow,parallel_graphflow,,,,,,,,,,,True,True,124,124,pass,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_026.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_026.parallel.log
Q_gen_027,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_027,graphflow,parallel_graphflow,5212118564,4294977190,5071551675,5071551675,0,0,173404.0,131894.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_027.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_027.parallel.log
Q_gen_028,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_028,graphflow,parallel_graphflow,912796961,912796961,1030025844,1030025844,0,0,54596.9,23254.2,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_028.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_028.parallel.log
Q_gen_029,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_029,graphflow,parallel_graphflow,17970163099,4294979921,,13372363093,,0,,341436.0,,244355,True,False,1,0,timeout-mismatch-progress,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_029.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_029.parallel.log
Q_gen_030,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_030,graphflow,parallel_graphflow,4364763503,4294971109,4424840425,4424840425,0,0,146008.0,93220.2,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_030.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare_v2/logs/Q_gen_030.parallel.log
