query,edges,serial_ms,parallel_ms,speedup,pos_serial,pos_parallel,neg_serial,neg_parallel,status
Q_gen_001,9,?,?,N/A,?,?,?,?,TIMEOUT(s=124,p=124)
Q_gen_002,8,?,?,N/A,?,?,?,?,TIMEOUT(s=124,p=124)
