query_name,query_path,serial_algorithm,parallel_algorithm,serial_initial,parallel_initial,serial_positive,parallel_positive,serial_negative,parallel_negative,serial_time_ms,parallel_time_ms,serial_edge_updates,parallel_edge_updates,serial_timed_out,parallel_timed_out,serial_return_code,parallel_return_code,match_status,serial_log,parallel_log
Q_gen_001,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_001,graphflow,parallel_graphflow,4986617132,4294981243,5007347470,5007347470,0,0,166152.0,114456.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_001.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_001.parallel.log
Q_gen_004,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_004,graphflow,parallel_graphflow,,,,,,,,,,,True,True,124,124,pass,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_004.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_004.parallel.log
Q_gen_008,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_008,graphflow,parallel_graphflow,1016255246,1016255246,1071658701,1071658701,0,0,55777.2,26650.4,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_008.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_008.parallel.log
Q_gen_009,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_009,graphflow,parallel_graphflow,5083759578,4294976768,5101213432,5101213432,0,0,174124.0,123284.0,244341,244349,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_009.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_009.parallel.log
Q_gen_010,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_010,graphflow,parallel_graphflow,5069679055,4294982065,5923793183,5923793183,0,0,193238.0,142396.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_010.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_010.parallel.log
Q_gen_011,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_011,graphflow,parallel_graphflow,4519475363,3563681103,,,,,,,,,True,True,1,1,timeout-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_011.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_011.parallel.log
Q_gen_014,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_014,graphflow,parallel_graphflow,1191280581,1191280581,1369813884,1369813884,0,0,66944.7,52839.3,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_014.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_014.parallel.log
Q_gen_015,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_015,graphflow,parallel_graphflow,5420752921,4294981390,5150898932,5150898932,0,0,173296.0,148684.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_015.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_015.parallel.log
Q_gen_016,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_016,graphflow,parallel_graphflow,4467659986,4294974840,4455163497,4455163497,0,0,146318.0,139004.0,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_016.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_016.parallel.log
Q_gen_018,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_018,graphflow,parallel_graphflow,7151357106,4294984985,,6885429192,,0,,155728.0,,244355,True,False,1,0,timeout-mismatch-progress,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_018.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_018.parallel.log
Q_gen_020,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_020,graphflow,parallel_graphflow,17833667633,4294978902,,13186225589,,0,,337717.0,,244355,True,False,1,0,timeout-mismatch-progress,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_020.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_020.parallel.log
Q_gen_021,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_021,graphflow,parallel_graphflow,1127309353,1127309353,1313485511,1313485511,0,0,60162.8,33062.2,244341,244355,False,False,0,0,initial-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_021.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_021.parallel.log
Q_gen_022,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20/accepted_queries/Q_gen_022,graphflow,parallel_graphflow,5290583577,3210779539,,,,,,,,,True,True,1,1,timeout-mismatch,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_022.serial.log,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/formal_graphflow_queryset_20_graphflow_compare/logs/Q_gen_022.parallel.log
