query_name,seed_name,mutation,query_path,vertex_count,edge_count,selected_metric,initial_ms,incremental_ms,initial_matches,positive_matches,negative_matches,edge_updates,timed_out,log_path
Q_gen_001,Q_24,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_001,9,9,30003.115234,8217.4257812,30003.115234,115287574112,172955583024,0,227073,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_001.log
Q_gen_002,Q_7,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_002,9,9,32419.943359,10188.7666016,32419.943359,3908228254768,236722653358,0,19214,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_002.log
Q_gen_003,Q_33,rewire_and_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_003,9,9,30000.328125,30000.328125,,287264717,,,,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_003.log
Q_gen_011,Q_23,rewire_and_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_011,9,9,30043.109375,10217.6376953,30043.109375,6680022290,5808585847,0,140906,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_011.log
Q_gen_013,Q_43,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_013,9,11,12386.394531,3713.4436035,12386.394531,24536909,52646600,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_013.log
Q_gen_015,Q_12,swap_labels,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_015,9,9,30011.359375,20136.0722656,30011.359375,851466718,505565484,0,111817,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_015.log
Q_gen_016,Q_75,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_016,9,10,30310.070312,21861.0078125,30310.070312,349638724,301486551,0,134283,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_016.log
Q_gen_018,Q_72,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_018,9,9,30347.695312,10167.8349609,30347.695312,254459914834,94215347260,0,75759,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_018.log
Q_gen_019,Q_73,rewire,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_019,9,9,30012.574219,7255.0092773,30012.574219,2963386257,3207257874,0,205386,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_019.log
Q_gen_020,Q_87,rewire_and_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_020,9,11,10053.2675781,10053.2675781,6487.466797,301660482,582668437,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_020.log
Q_gen_022,Q_27,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_022,9,11,12042.510742,3147.9094238,12042.510742,72394718,170157522,0,244341,False,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_022.log
Q_gen_025,Q_12,change_label,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/accepted_queries/Q_gen_025,9,9,30017.882812,19543.9316406,30017.882812,856738425,582902036,0,126160,True,/home/v-haibinlai/haibin/ParaCOSM/ParaCOSM/CSM/generated_slow_queries/9v/logs/Q_gen_025.log
