query,vertices,edges,positive_matches,cpu_16core_ms,gpu_v100_ms,speedup,counts_equal
A1_10v_11e.graph,10,11,20326085409,269455.0,4049.23,66.544750,True
A2_10v_11e.graph,10,11,29109608999,388241.0,5607.06,69.241456,True
A3_10v_11e.graph,10,11,24108380768,365705.0,5614.88,65.131401,True
A4_10v_12e.graph,10,12,7989861858,116898.0,1702.16,68.676270,True
A5_10v_11e.graph,10,11,13555433046,238546.0,3921.62,60.828433,True
